"u:0","u:1","u:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.00018023,8.1984e-08,-1.3841e-05,1,0,10,1,0
2.8174,3.42e-05,-7.8996e-06,1,0.002,10,1,0.002
5.635,6.8317e-05,-1.9586e-06,1,0.004,10,1,0.004
8.4525,0.00010244,3.9824e-06,1,0.006,10,1,0.006
11.27,0.00013655,9.9234e-06,1,0.008,10,1,0.008
14.088,0.00017067,1.5864e-05,1,0.01,10,1,0.01
16.464,0.00019738,4.197e-05,1,0.012,10,1,0.012
18.84,0.0002241,6.8076e-05,1,0.014,10,1,0.014
21.217,0.00025081,9.4182e-05,1,0.016,10,1,0.016
23.593,0.00027752,0.00012029,1,0.018,10,1,0.018
25.97,0.00030423,0.00014639,1,0.02,10,1,0.02
27.938,0.00032457,0.00018145,1,0.022,10,1,0.022
29.906,0.0003449,0.0002165,1,0.024,10,1,0.024
31.874,0.00036523,0.00025156,1,0.026,10,1,0.026
33.842,0.00038556,0.00028661,1,0.028,10,1,0.028
35.81,0.00040589,0.00032167,1,0.03,10,1,0.03
37.404,0.00042079,0.00035546,1,0.032,10,1,0.032
38.998,0.00043569,0.00038925,1,0.034,10,1,0.034
40.592,0.00045059,0.00042304,1,0.036,10,1,0.036
42.185,0.00046549,0.00045683,1,0.038,10,1,0.038
43.779,0.00048039,0.00049062,1,0.04,10,1,0.04
45.032,0.00049072,0.00051798,1,0.042,10,1,0.042
46.286,0.00050104,0.00054533,1,0.044,10,1,0.044
47.539,0.00051137,0.00057269,1,0.046,10,1,0.046
48.792,0.0005217,0.00060005,1,0.048,10,1,0.048
50.045,0.00053202,0.0006274,1,0.05,10,1,0.05
50.991,0.00053855,0.00064347,1,0.052,10,1,0.052
51.937,0.00054507,0.00065954,1,0.054,10,1,0.054
52.883,0.00055159,0.00067561,1,0.056,10,1,0.056
53.829,0.00055811,0.00069168,1,0.058,10,1,0.058
54.774,0.00056464,0.00070775,1,0.06,10,1,0.06
55.445,0.00056804,0.00070897,1,0.062,10,1,0.062
56.116,0.00057144,0.00071019,1,0.064,10,1,0.064
56.787,0.00057484,0.0007114,1,0.066,10,1,0.066
57.458,0.00057825,0.00071262,1,0.068,10,1,0.068
58.129,0.00058165,0.00071384,1,0.07,10,1,0.07
58.556,0.00058253,0.0006975,1,0.072,10,1,0.072
58.983,0.00058341,0.00068116,1,0.074,10,1,0.074
59.41,0.00058429,0.00066483,1,0.076,10,1,0.076
59.837,0.00058518,0.00064849,1,0.078,10,1,0.078
60.264,0.00058606,0.00063216,1,0.08,10,1,0.08
60.478,0.00058494,0.00059685,1,0.082,10,1,0.082
60.691,0.00058383,0.00056154,1,0.084,10,1,0.084
60.904,0.00058271,0.00052622,1,0.086,10,1,0.086
61.117,0.00058159,0.00049091,1,0.088,10,1,0.088
61.33,0.00058048,0.0004556,1,0.09,10,1,0.09
61.358,0.00057781,0.0004009,1,0.092,10,1,0.092
61.386,0.00057515,0.0003462,1,0.094,10,1,0.094
61.414,0.00057248,0.0002915,1,0.096,10,1,0.096
61.442,0.00056982,0.0002368,1,0.098,10,1,0.098
61.469,0.00056715,0.0001821,1,0.1,10,1,0.1
61.338,0.00056333,0.0001084,1,0.102,10,1,0.102
61.208,0.0005595,3.4697e-05,1,0.104,10,1,0.104
61.077,0.00055567,-3.9006e-05,1,0.106,10,1,0.106
60.946,0.00055185,-0.00011271,1,0.108,10,1,0.108
60.815,0.00054802,-0.00018641,1,0.11,10,1,0.11
60.55,0.00054335,-0.00027805,1,0.112,10,1,0.112
60.286,0.00053869,-0.00036968,1,0.114,10,1,0.114
60.021,0.00053402,-0.00046131,1,0.116,10,1,0.116
59.757,0.00052935,-0.00055295,1,0.118,10,1,0.118
59.492,0.00052469,-0.00064458,1,0.12,10,1,0.12
59.118,0.00051945,-0.00075242,1,0.122,10,1,0.122
58.743,0.00051421,-0.00086025,1,0.124,10,1,0.124
58.368,0.00050897,-0.00096809,1,0.126,10,1,0.126
57.993,0.00050373,-0.0010759,1,0.128,10,1,0.128
57.618,0.00049849,-0.0011838,1,0.13,10,1,0.13
57.154,0.0004929,-0.0013055,1,0.132,10,1,0.132
56.691,0.00048731,-0.0014272,1,0.134,10,1,0.134
56.227,0.00048171,-0.0015489,1,0.136,10,1,0.136
55.763,0.00047612,-0.0016706,1,0.138,10,1,0.138
55.299,0.00047053,-0.0017923,1,0.14,10,1,0.14
54.766,0.00046475,-0.0019251,1,0.142,10,1,0.142
54.233,0.00045898,-0.0020579,1,0.144,10,1,0.144
53.7,0.0004532,-0.0021906,1,0.146,10,1,0.146
53.167,0.00044743,-0.0023234,1,0.148,10,1,0.148
52.634,0.00044165,-0.0024561,1,0.15,10,1,0.15
52.049,0.00043583,-0.0025967,1,0.152,10,1,0.152
51.464,0.00043001,-0.0027373,1,0.154,10,1,0.154
50.879,0.00042419,-0.0028779,1,0.156,10,1,0.156
50.294,0.00041837,-0.0030185,1,0.158,10,1,0.158
49.709,0.00041255,-0.0031591,1,0.16,10,1,0.16
49.088,0.00040678,-0.0033041,1,0.162,10,1,0.162
48.467,0.00040102,-0.0034491,1,0.164,10,1,0.164
47.846,0.00039525,-0.0035941,1,0.166,10,1,0.166
47.225,0.00038948,-0.003739,1,0.168,10,1,0.168
46.604,0.00038372,-0.003884,1,0.17,10,1,0.17
45.961,0.00037809,-0.0040298,1,0.172,10,1,0.172
45.319,0.00037245,-0.0041757,1,0.174,10,1,0.174
44.676,0.00036682,-0.0043215,1,0.176,10,1,0.176
44.033,0.00036119,-0.0044673,1,0.178,10,1,0.178
43.39,0.00035556,-0.0046131,1,0.18,10,1,0.18
42.737,0.00035011,-0.0047563,1,0.182,10,1,0.182
42.084,0.00034467,-0.0048994,1,0.184,10,1,0.184
41.432,0.00033922,-0.0050426,1,0.186,10,1,0.186
40.779,0.00033378,-0.0051857,1,0.188,10,1,0.188
40.126,0.00032833,-0.0053289,1,0.19,10,1,0.19
39.474,0.00032312,-0.005466,1,0.192,10,1,0.192
38.822,0.0003179,-0.0056031,1,0.194,10,1,0.194
38.17,0.00031268,-0.0057403,1,0.196,10,1,0.196
37.518,0.00030746,-0.0058774,1,0.198,10,1,0.198
36.866,0.00030224,-0.0060145,1,0.2,10,1,0.2
36.224,0.00029727,-0.0061426,1,0.202,10,1,0.202
35.581,0.00029231,-0.0062706,1,0.204,10,1,0.204
34.939,0.00028734,-0.0063987,1,0.206,10,1,0.206
34.296,0.00028237,-0.0065268,1,0.208,10,1,0.208
33.654,0.0002774,-0.0066548,1,0.21,10,1,0.21
33.029,0.0002727,-0.0067711,1,0.212,10,1,0.212
32.403,0.000268,-0.0068873,1,0.214,10,1,0.214
31.778,0.00026329,-0.0070036,1,0.216,10,1,0.216
31.153,0.00025859,-0.0071199,1,0.218,10,1,0.218
30.527,0.00025389,-0.0072361,1,0.22,10,1,0.22
29.925,0.00024946,-0.0073383,1,0.222,10,1,0.222
29.323,0.00024502,-0.0074405,1,0.224,10,1,0.224
28.721,0.00024059,-0.0075426,1,0.226,10,1,0.226
28.118,0.00023616,-0.0076448,1,0.228,10,1,0.228
27.516,0.00023173,-0.007747,1,0.23,10,1,0.23
26.942,0.00022757,-0.0078332,1,0.232,10,1,0.232
26.368,0.00022341,-0.0079194,1,0.234,10,1,0.234
25.793,0.00021925,-0.0080057,1,0.236,10,1,0.236
25.219,0.0002151,-0.0080919,1,0.238,10,1,0.238
24.645,0.00021094,-0.0081782,1,0.24,10,1,0.24
24.102,0.00020705,-0.0082471,1,0.242,10,1,0.242
23.559,0.00020316,-0.0083161,1,0.244,10,1,0.244
23.016,0.00019927,-0.0083851,1,0.246,10,1,0.246
22.473,0.00019538,-0.008454,1,0.248,10,1,0.248
21.93,0.00019149,-0.008523,1,0.25,10,1,0.25
21.422,0.00018787,-0.0085738,1,0.252,10,1,0.252
20.913,0.00018424,-0.0086246,1,0.254,10,1,0.254
20.404,0.00018062,-0.0086754,1,0.256,10,1,0.256
19.895,0.00017699,-0.0087262,1,0.258,10,1,0.258
19.387,0.00017337,-0.008777,1,0.26,10,1,0.26
18.914,0.00017,-0.0088093,1,0.262,10,1,0.262
18.441,0.00016663,-0.0088415,1,0.264,10,1,0.264
17.968,0.00016326,-0.0088737,1,0.266,10,1,0.266
17.495,0.00015989,-0.008906,1,0.268,10,1,0.268
17.022,0.00015652,-0.0089382,1,0.27,10,1,0.27
16.586,0.0001534,-0.0089519,1,0.272,10,1,0.272
16.149,0.00015028,-0.0089656,1,0.274,10,1,0.274
15.713,0.00014716,-0.0089793,1,0.276,10,1,0.276
15.277,0.00014404,-0.008993,1,0.278,10,1,0.278
14.841,0.00014091,-0.0090067,1,0.28,10,1,0.28
14.441,0.00013803,-0.0090023,1,0.282,10,1,0.282
14.042,0.00013514,-0.0089979,1,0.284,10,1,0.284
13.643,0.00013226,-0.0089935,1,0.286,10,1,0.286
13.243,0.00012937,-0.008989,1,0.288,10,1,0.288
12.844,0.00012649,-0.0089846,1,0.29,10,1,0.29
12.481,0.00012383,-0.0089628,1,0.292,10,1,0.292
12.118,0.00012117,-0.0089411,1,0.294,10,1,0.294
11.755,0.00011851,-0.0089193,1,0.296,10,1,0.296
11.392,0.00011585,-0.0088975,1,0.298,10,1,0.298
11.03,0.0001132,-0.0088758,1,0.3,10,1,0.3
10.702,0.00011075,-0.0088377,1,0.302,10,1,0.302
10.375,0.00010831,-0.0087996,1,0.304,10,1,0.304
10.048,0.00010587,-0.0087616,1,0.306,10,1,0.306
9.7208,0.00010342,-0.0087235,1,0.308,10,1,0.308
9.3936,0.00010098,-0.0086855,1,0.31,10,1,0.31
9.1008,9.8743e-05,-0.0086325,1,0.312,10,1,0.312
8.8081,9.6505e-05,-0.0085794,1,0.314,10,1,0.314
8.5153,9.4267e-05,-0.0085264,1,0.316,10,1,0.316
8.2225,9.2029e-05,-0.0084734,1,0.318,10,1,0.318
7.9298,8.9791e-05,-0.0084204,1,0.32,10,1,0.32
7.6699,8.7747e-05,-0.0083539,1,0.322,10,1,0.322
