"u:0","u:1","u:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.00038588,1.0189e-07,-0.0019239,1,0,10,0,1
0.55038,-3.2864e-05,-0.0017966,1,0.002,10,0.002,1
1.1012,-6.583e-05,-0.0016693,1,0.004,10,0.004,1
1.6519,-9.8796e-05,-0.001542,1,0.006,10,0.006,1
2.2027,-0.00013176,-0.0014147,1,0.008,10,0.008,1
2.7535,-0.00016473,-0.0012874,1,0.01,10,0.01,1
3.3042,-0.00019769,-0.0011601,1,0.012,10,0.012,1
3.855,-0.00023066,-0.0010328,1,0.014,10,0.014,1
4.4058,-0.00026363,-0.00090553,1,0.016,10,0.016,1
4.9565,-0.00029659,-0.00077823,1,0.018,10,0.018,1
5.5073,-0.00032956,-0.00065094,1,0.02,10,0.02,1
5.8103,-0.00031624,-0.00056034,1,0.022,10,0.022,1
6.1133,-0.00030292,-0.00046975,1,0.024,10,0.024,1
6.4163,-0.0002896,-0.00037916,1,0.026,10,0.026,1
6.7192,-0.00027628,-0.00028857,1,0.028,10,0.028,1
7.0222,-0.00026296,-0.00019797,1,0.03,10,0.03,1
7.3252,-0.00024964,-0.00010738,1,0.032,10,0.032,1
7.6282,-0.00023632,-1.6787e-05,1,0.034,10,0.034,1
7.9312,-0.000223,7.3805e-05,1,0.036,10,0.036,1
8.2341,-0.00020968,0.0001644,1,0.038,10,0.038,1
8.5371,-0.00019636,0.00025499,1,0.04,10,0.04,1
8.7038,-0.00018368,0.0002784,1,0.042,10,0.042,1
8.8705,-0.00017099,0.00030181,1,0.044,10,0.044,1
9.0372,-0.00015831,0.00032521,1,0.046,10,0.046,1
9.2038,-0.00014563,0.00034862,1,0.048,10,0.048,1
9.3705,-0.00013295,0.00037203,1,0.05,10,0.05,1
9.5372,-0.00012027,0.00039543,1,0.052,10,0.052,1
9.7039,-0.00010758,0.00041884,1,0.054,10,0.054,1
9.8705,-9.4901e-05,0.00044225,1,0.056,10,0.056,1
10.037,-8.2219e-05,0.00046565,1,0.058,10,0.058,1
10.204,-6.9537e-05,0.00048906,1,0.06,10,0.06,1
10.296,-5.4323e-05,0.00049991,1,0.062,10,0.062,1
10.387,-3.9109e-05,0.00051075,1,0.064,10,0.064,1
10.479,-2.3896e-05,0.0005216,1,0.066,10,0.066,1
10.571,-8.6817e-06,0.00053245,1,0.068,10,0.068,1
10.662,6.532e-06,0.00054329,1,0.07,10,0.07,1
10.754,2.1746e-05,0.00055414,1,0.072,10,0.072,1
10.846,3.696e-05,0.00056499,1,0.074,10,0.074,1
10.938,5.2173e-05,0.00057583,1,0.076,10,0.076,1
11.029,6.7387e-05,0.00058668,1,0.078,10,0.078,1
11.121,8.2601e-05,0.00059753,1,0.08,10,0.08,1
11.171,9.8021e-05,0.00060371,1,0.082,10,0.082,1
11.222,0.00011344,0.00060989,1,0.084,10,0.084,1
11.273,0.00012886,0.00061608,1,0.086,10,0.086,1
11.323,0.00014428,0.00062226,1,0.088,10,0.088,1
11.374,0.0001597,0.00062844,1,0.09,10,0.09,1
11.424,0.00017512,0.00063463,1,0.092,10,0.092,1
11.475,0.00019054,0.00064081,1,0.094,10,0.094,1
11.525,0.00020596,0.00064699,1,0.096,10,0.096,1
11.576,0.00022138,0.00065318,1,0.098,10,0.098,1
11.626,0.0002368,0.00065936,1,0.1,10,0.1,1
11.654,0.00025134,0.00066314,1,0.102,10,0.102,1
11.682,0.00026588,0.00066693,1,0.104,10,0.104,1
11.71,0.00028041,0.00067071,1,0.106,10,0.106,1
11.738,0.00029495,0.00067449,1,0.108,10,0.108,1
11.766,0.00030949,0.00067827,1,0.11,10,0.11,1
11.794,0.00032403,0.00068206,1,0.112,10,0.112,1
11.821,0.00033856,0.00068584,1,0.114,10,0.114,1
11.849,0.0003531,0.00068962,1,0.116,10,0.116,1
11.877,0.00036764,0.00069341,1,0.118,10,0.118,1
11.905,0.00038217,0.00069719,1,0.12,10,0.12,1
11.921,0.0003955,0.00069953,1,0.122,10,0.122,1
11.936,0.00040883,0.00070188,1,0.124,10,0.124,1
11.951,0.00042216,0.00070423,1,0.126,10,0.126,1
11.967,0.00043549,0.00070657,1,0.128,10,0.128,1
11.982,0.00044882,0.00070892,1,0.13,10,0.13,1
11.998,0.00046215,0.00071126,1,0.132,10,0.132,1
