"u:0","u:1","u:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.00013877,1.2074e-07,-1.0205e-06,1,0,10,2,0
-0.00013762,6.6574e-08,-1.1333e-06,1,0.002,10,2,0.002
-0.00013647,1.2405e-08,-1.2462e-06,1,0.004,10,2,0.004
-0.00013531,-4.1764e-08,-1.3591e-06,1,0.006,10,2,0.006
-0.00013416,-9.5933e-08,-1.472e-06,1,0.008,10,2,0.008
-0.00013301,-1.501e-07,-1.5848e-06,1,0.01,10,2,0.01
-0.00013186,-2.0427e-07,-1.6977e-06,1,0.012,10,2,0.012
-0.00013071,-2.5844e-07,-1.8106e-06,1,0.014,10,2,0.014
-0.00012955,-3.1261e-07,-1.9235e-06,1,0.016,10,2,0.016
-0.0001284,-3.6678e-07,-2.0363e-06,1,0.018,10,2,0.018
-0.00012725,-4.2095e-07,-2.1492e-06,1,0.02,10,2,0.02
-0.00012942,-3.8285e-07,-2.4913e-06,1,0.022,10,2,0.022
-0.00013158,-3.4476e-07,-2.8334e-06,1,0.024,10,2,0.024
-0.00013375,-3.0666e-07,-3.1755e-06,1,0.026,10,2,0.026
-0.00013592,-2.6857e-07,-3.5176e-06,1,0.028,10,2,0.028
-0.00013809,-2.3047e-07,-3.8597e-06,1,0.03,10,2,0.03
-0.00014025,-1.9238e-07,-4.2018e-06,1,0.032,10,2,0.032
-0.00014242,-1.5428e-07,-4.5439e-06,1,0.034,10,2,0.034
-0.00014459,-1.1619e-07,-4.886e-06,1,0.036,10,2,0.036
-0.00014676,-7.8095e-08,-5.2281e-06,1,0.038,10,2,0.038
-0.00014892,-4e-08,-5.5702e-06,1,0.04,10,2,0.04
-0.00014459,-6.475e-09,-6.0313e-06,1,0.042,10,2,0.042
-0.00014026,2.705e-08,-6.4923e-06,1,0.044,10,2,0.044
-0.00013593,6.0576e-08,-6.9533e-06,1,0.046,10,2,0.046
-0.0001316,9.4101e-08,-7.4144e-06,1,0.048,10,2,0.048
-0.00012727,1.2763e-07,-7.8754e-06,1,0.05,10,2,0.05
-0.00012294,1.6115e-07,-8.3365e-06,1,0.052,10,2,0.052
-0.00011861,1.9468e-07,-8.7975e-06,1,0.054,10,2,0.054
-0.00011428,2.282e-07,-9.2585e-06,1,0.056,10,2,0.056
-0.00010995,2.6173e-07,-9.7196e-06,1,0.058,10,2,0.058
-0.00010562,2.9525e-07,-1.0181e-05,1,0.06,10,2,0.06
-0.00010503,3.1541e-07,-1.0595e-05,1,0.062,10,2,0.062
-0.00010445,3.3556e-07,-1.101e-05,1,0.064,10,2,0.064
-0.00010386,3.5571e-07,-1.1424e-05,1,0.066,10,2,0.066
-0.00010327,3.7586e-07,-1.1839e-05,1,0.068,10,2,0.068
-0.00010269,3.9601e-07,-1.2253e-05,1,0.07,10,2,0.07
-0.0001021,4.1617e-07,-1.2668e-05,1,0.072,10,2,0.072
-0.00010151,4.3632e-07,-1.3083e-05,1,0.074,10,2,0.074
