"u:0","u:1","u:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.00082239,9.3493e-06,1.8141e-06,1,0,10,1.6,0
0.067945,1.4914e-05,1.1061e-06,1,0.002,10,1.6,0.002
0.13671,2.0478e-05,3.9807e-07,1,0.004,10,1.6,0.004
0.20548,2.6042e-05,-3.0996e-07,1,0.006,10,1.6,0.006
0.27425,3.1606e-05,-1.018e-06,1,0.008,10,1.6,0.008
0.34302,3.7171e-05,-1.726e-06,1,0.01,10,1.6,0.01
0.41178,4.2735e-05,-2.434e-06,1,0.012,10,1.6,0.012
0.48055,4.8299e-05,-3.142e-06,1,0.014,10,1.6,0.014
0.54932,5.3864e-05,-3.8501e-06,1,0.016,10,1.6,0.016
0.61968,5.935e-05,-6.1377e-06,1,0.018,10,1.6,0.018
0.69084,6.4797e-05,-9.2151e-06,1,0.02,10,1.6,0.02
0.76201,7.0244e-05,-1.2292e-05,1,0.022,10,1.6,0.022
0.83317,7.5691e-05,-1.537e-05,1,0.024,10,1.6,0.024
0.90433,8.1138e-05,-1.8447e-05,1,0.026,10,1.6,0.026
0.97549,8.6585e-05,-2.1525e-05,1,0.028,10,1.6,0.028
1.0467,9.2032e-05,-2.4602e-05,1,0.03,10,1.6,0.03
1.1178,9.7479e-05,-2.768e-05,1,0.032,10,1.6,0.032
1.1873,0.0001023,-3.0567e-05,1,0.034,10,1.6,0.034
1.2535,0.00010588,-3.3074e-05,1,0.036,10,1.6,0.036
1.3197,0.00010945,-3.5582e-05,1,0.038,10,1.6,0.038
1.3858,0.00011303,-3.8089e-05,1,0.04,10,1.6,0.04
1.452,0.0001166,-4.0597e-05,1,0.042,10,1.6,0.042
1.5182,0.00012018,-4.3104e-05,1,0.044,10,1.6,0.044
1.5844,0.00012376,-4.5612e-05,1,0.046,10,1.6,0.046
1.6505,0.00012733,-4.8119e-05,1,0.048,10,1.6,0.048
1.7167,0.00013091,-5.0626e-05,1,0.05,10,1.6,0.05
1.7809,0.00013405,-5.1388e-05,1,0.052,10,1.6,0.052
1.8452,0.00013719,-5.215e-05,1,0.054,10,1.6,0.054
1.9094,0.00014033,-5.2912e-05,1,0.056,10,1.6,0.056
1.9736,0.00014347,-5.3674e-05,1,0.058,10,1.6,0.058
2.0378,0.00014661,-5.4436e-05,1,0.06,10,1.6,0.06
2.102,0.00014975,-5.5198e-05,1,0.062,10,1.6,0.062
2.1663,0.0001529,-5.596e-05,1,0.064,10,1.6,0.064
2.2305,0.00015604,-5.6722e-05,1,0.066,10,1.6,0.066
2.2933,0.0001589,-5.8873e-05,1,0.068,10,1.6,0.068
2.3555,0.00016162,-6.1718e-05,1,0.07,10,1.6,0.07
2.4177,0.00016434,-6.4563e-05,1,0.072,10,1.6,0.072
2.4799,0.00016705,-6.7409e-05,1,0.074,10,1.6,0.074
2.542,0.00016977,-7.0254e-05,1,0.076,10,1.6,0.076
2.6042,0.00017249,-7.3099e-05,1,0.078,10,1.6,0.078
2.6664,0.00017521,-7.5944e-05,1,0.08,10,1.6,0.08
2.7285,0.00017793,-7.8789e-05,1,0.082,10,1.6,0.082
2.79,0.0001805,-8.1971e-05,1,0.084,10,1.6,0.084
2.8501,0.00018277,-8.5825e-05,1,0.086,10,1.6,0.086
2.9101,0.00018503,-8.9679e-05,1,0.088,10,1.6,0.088
2.9702,0.0001873,-9.3533e-05,1,0.09,10,1.6,0.09
3.0302,0.00018957,-9.7387e-05,1,0.092,10,1.6,0.092
3.0903,0.00019184,-0.00010124,1,0.094,10,1.6,0.094
3.1504,0.00019411,-0.0001051,1,0.096,10,1.6,0.096
3.2104,0.00019637,-0.00010895,1,0.098,10,1.6,0.098
3.2705,0.00019864,-0.0001128,1,0.1,10,1.6,0.1
3.3285,0.00020049,-0.0001169,1,0.102,10,1.6,0.102
3.3866,0.00020234,-0.000121,1,0.104,10,1.6,0.104
3.4446,0.00020419,-0.00012509,1,0.106,10,1.6,0.106
3.5027,0.00020604,-0.00012919,1,0.108,10,1.6,0.108
3.5608,0.00020789,-0.00013328,1,0.11,10,1.6,0.11
3.6188,0.00020974,-0.00013738,1,0.112,10,1.6,0.112
3.6769,0.00021159,-0.00014148,1,0.114,10,1.6,0.114
3.7349,0.00021344,-0.00014557,1,0.116,10,1.6,0.116
3.7917,0.00021503,-0.00014972,1,0.118,10,1.6,0.118
3.8478,0.0002165,-0.0001539,1,0.12,10,1.6,0.12
3.9039,0.00021796,-0.00015808,1,0.122,10,1.6,0.122
3.9601,0.00021942,-0.00016226,1,0.124,10,1.6,0.124
4.0162,0.00022088,-0.00016644,1,0.126,10,1.6,0.126
4.0723,0.00022234,-0.00017062,1,0.128,10,1.6,0.128
4.1284,0.0002238,-0.00017479,1,0.13,10,1.6,0.13
4.1846,0.00022526,-0.00017897,1,0.132,10,1.6,0.132
4.2401,0.0002266,-0.00018316,1,0.134,10,1.6,0.134
4.2943,0.00022768,-0.00018736,1,0.136,10,1.6,0.136
4.3486,0.00022877,-0.00019157,1,0.138,10,1.6,0.138
4.4028,0.00022986,-0.00019577,1,0.14,10,1.6,0.14
4.4571,0.00023094,-0.00019998,1,0.142,10,1.6,0.142
4.5113,0.00023203,-0.00020418,1,0.144,10,1.6,0.144
4.5655,0.00023312,-0.00020838,1,0.146,10,1.6,0.146
4.6198,0.0002342,-0.00021259,1,0.148,10,1.6,0.148
4.674,0.00023529,-0.00021679,1,0.15,10,1.6,0.15
4.7265,0.00023601,-0.0002209,1,0.152,10,1.6,0.152
4.7789,0.00023674,-0.000225,1,0.154,10,1.6,0.154
4.8313,0.00023747,-0.00022911,1,0.156,10,1.6,0.156
4.8837,0.00023819,-0.00023321,1,0.158,10,1.6,0.158
4.9361,0.00023892,-0.00023731,1,0.16,10,1.6,0.16
4.9886,0.00023964,-0.00024142,1,0.162,10,1.6,0.162
5.041,0.00024037,-0.00024552,1,0.164,10,1.6,0.164
5.0934,0.00024109,-0.00024963,1,0.166,10,1.6,0.166
5.1446,0.00024157,-0.00025355,1,0.168,10,1.6,0.168
5.1953,0.00024193,-0.00025738,1,0.17,10,1.6,0.17
5.2459,0.00024229,-0.00026121,1,0.172,10,1.6,0.172
5.2966,0.00024265,-0.00026504,1,0.174,10,1.6,0.174
5.3472,0.00024301,-0.00026887,1,0.176,10,1.6,0.176
5.3979,0.00024336,-0.00027271,1,0.178,10,1.6,0.178
5.4485,0.00024372,-0.00027654,1,0.18,10,1.6,0.18
5.4992,0.00024408,-0.00028037,1,0.182,10,1.6,0.182
5.5493,0.00024432,-0.00028406,1,0.184,10,1.6,0.184
5.5982,0.00024432,-0.00028749,1,0.186,10,1.6,0.186
5.6471,0.00024432,-0.00029091,1,0.188,10,1.6,0.188
5.696,0.00024432,-0.00029434,1,0.19,10,1.6,0.19
5.745,0.00024433,-0.00029776,1,0.192,10,1.6,0.192
5.7939,0.00024433,-0.00030119,1,0.194,10,1.6,0.194
5.8428,0.00024433,-0.00030461,1,0.196,10,1.6,0.196
5.8918,0.00024433,-0.00030803,1,0.198,10,1.6,0.198
5.9407,0.00024433,-0.00031146,1,0.2,10,1.6,0.2
5.988,0.00024396,-0.00031435,1,0.202,10,1.6,0.202
6.0352,0.00024358,-0.00031724,1,0.204,10,1.6,0.204
6.0825,0.00024321,-0.00032013,1,0.206,10,1.6,0.206
6.1298,0.00024284,-0.00032302,1,0.208,10,1.6,0.208
6.177,0.00024247,-0.0003259,1,0.21,10,1.6,0.21
6.2243,0.00024209,-0.00032879,1,0.212,10,1.6,0.212
6.2716,0.00024172,-0.00033168,1,0.214,10,1.6,0.214
6.3188,0.00024135,-0.00033457,1,0.216,10,1.6,0.216
6.365,0.00024075,-0.00033707,1,0.218,10,1.6,0.218
6.4107,0.00024003,-0.00033936,1,0.22,10,1.6,0.22
6.4563,0.00023931,-0.00034166,1,0.222,10,1.6,0.222
6.502,0.0002386,-0.00034395,1,0.224,10,1.6,0.224
6.5476,0.00023788,-0.00034624,1,0.226,10,1.6,0.226
6.5933,0.00023717,-0.00034854,1,0.228,10,1.6,0.228
6.6389,0.00023645,-0.00035083,1,0.23,10,1.6,0.23
6.6846,0.00023574,-0.00035313,1,0.232,10,1.6,0.232
6.7297,0.0002349,-0.00035523,1,0.234,10,1.6,0.234
6.7738,0.00023383,-0.00035693,1,0.236,10,1.6,0.236
6.8179,0.00023276,-0.00035863,1,0.238,10,1.6,0.238
6.8619,0.0002317,-0.00036033,1,0.24,10,1.6,0.24
6.906,0.00023063,-0.00036203,1,0.242,10,1.6,0.242
6.9501,0.00022956,-0.00036373,1,0.244,10,1.6,0.244
6.9942,0.00022849,-0.00036543,1,0.246,10,1.6,0.246
7.0383,0.00022742,-0.00036713,1,0.248,10,1.6,0.248
7.0824,0.00022635,-0.00036883,1,0.25,10,1.6,0.25
7.1249,0.00022494,-0.00036997,1,0.252,10,1.6,0.252
7.1675,0.00022352,-0.00037111,1,0.254,10,1.6,0.254
7.21,0.0002221,-0.00037225,1,0.256,10,1.6,0.256
7.2526,0.00022068,-0.0003734,1,0.258,10,1.6,0.258
7.2951,0.00021927,-0.00037454,1,0.26,10,1.6,0.26
7.3377,0.00021785,-0.00037568,1,0.262,10,1.6,0.262
7.3803,0.00021643,-0.00037682,1,0.264,10,1.6,0.264
7.4228,0.00021502,-0.00037796,1,0.266,10,1.6,0.266
7.4644,0.00021337,-0.00037875,1,0.268,10,1.6,0.268
7.5055,0.00021161,-0.00037938,1,0.27,10,1.6,0.27
7.5465,0.00020984,-0.00038,1,0.272,10,1.6,0.272
7.5876,0.00020808,-0.00038063,1,0.274,10,1.6,0.274
7.6287,0.00020632,-0.00038125,1,0.276,10,1.6,0.276
7.6698,0.00020456,-0.00038187,1,0.278,10,1.6,0.278
7.7109,0.0002028,-0.0003825,1,0.28,10,1.6,0.28
7.7519,0.00020103,-0.00038312,1,0.282,10,1.6,0.282
7.7925,0.00019917,-0.00038361,1,0.284,10,1.6,0.284
7.8322,0.00019709,-0.00038384,1,0.286,10,1.6,0.286
7.8718,0.000195,-0.00038408,1,0.288,10,1.6,0.288
7.9115,0.00019292,-0.00038431,1,0.29,10,1.6,0.29
7.9511,0.00019084,-0.00038454,1,0.292,10,1.6,0.292
7.9908,0.00018876,-0.00038477,1,0.294,10,1.6,0.294
8.0304,0.00018668,-0.000385,1,0.296,10,1.6,0.296
